year,fips,state,region,population_est,anxiety_ct,trauma_stress_ct,adhd_ct,bipolar_ct,depression_ct,comm_psych_care,outpatient_util,state_psych_care,private_psych_care,resid_psych_care,total_inpatient,inpatient_util,total_civilian,total_util,median_adhd,median_ptsd,median_anxiety,median_bipolar,median_depression,median_mental_hospital,median_psychiatrists_near_me,median_psychologist_near_me,median_therapist_near_me,median_all_trends,mean_adhd,mean_ptsd,mean_anxiety,mean_bipolar,mean_depression,mean_mental_hospital,mean_psychiatrists_near_me,mean_psychologist_near_me,mean_therapist_near_me,mean_all_trends,total_facilities,mental_health_only,inpatient_facilities,pct_pharmacotherapy,pct_free_services,pct_medicare_services,pct_youth_services,pct_counseling_services,per_capita_total_facilities,per_capita_mental_health_only,per_capita_inpatient_facilities
2013,1,AL,South,4831586,14529,10242,15485,17877,30291,98035,0.020290438791734224,192727,192991,194654,580372,0.12012039110966875,678407,0.14041083,23,8.5,47.5,22,59.5,34,0,0,0,22,23.5,8.75,47.25,22.33333333,59,32.58333333,0,0,0,21.490740740000003,,,,,,,,,,,
2013,4,AZ,West Pacific,6634690,41236,43758,37832,50225,50635,191255,0.028826516385844703,381920,369961,381893,1133774,0.17088575351674307,1325029,0.19971227,19.5,11,52.5,22,64.5,31,0,0,0,19.5,20.08333333,10.58333333,51.91666667,22,62.08333333,31.83333333,0,0,0,22.05555555444444,,,,,,,,,,,
2013,5,AR,South,2960459,6898,8886,6715,13327,17751,70442,0.023794283,138938,136871,139162,414971,0.14017116940312296,485413,0.163965453,22,10.5,51.5,22.5,69,37.5,0,0,0,22,21.66666667,10.66666667,50.91666667,22.25,67.25,31.75,0,0,0,22.722222223333333,,,,,,,,,,,
2013,6,CA,West Pacific,38253768,67221,100627,52025,108980,186160,690418,0.018048365849868696,1345219,1318628,1336650,4000497,0.10457785491876251,4690915,0.122626221,18,9,50,19,58,41.5,0,0,0,18,17.91666667,8.916666667,49.91666667,19.66666667,56.16666667,41.25,0,0,0.166666667,21.55555555711111,,,,,,,,,,,
2013,8,CO,West Pacific,5270774,17235,27566,9793,23741,29711,106664,0.020236876,205090,206561,204654,616305,0.11692874708723994,722969,0.137165623,18,11,48,21,61,40,0,0,0,18,18.25,10.91666667,47.58333333,21.58333333,57.66666667,39.41666667,0,0,0,21.712962963333332,,,,,,,,,,,
2013,9,CT,Atlantic,3595792,12753,18499,9698,15282,22633,90675,0.025216975842874113,177994,178547,178968,535509,0.14892657862301267,626184,0.174143554,21.5,10,51.5,22,62,40,0,0,0,21.5,21.25,9.666666667,52,22.08333333,60.08333333,38.83333333,0,0,0,22.657407406333334,,,,,,,,,,,
2013,10,DE,Atlantic,924062,844,1453,1152,2000,2043,11219,0.01214096,15538,16918,18026,50482,0.054630533,61701,0.066771494,24.5,9,52.5,25,66,0,0,0,0,9,24.16666667,8.833333333,51.66666667,25.08333333,65,0,0,0,0,19.41666667,,,,,,,,,,,
2013,12,FL,South,19551678,12927,26190,22589,52256,69402,262720,0.01343721,513742,514172,507781,1535695,0.078545432,1798415,0.091982642,20,8,47,21.5,49.5,29.5,0,0,0,20,20.16666667,8,46.83333333,22,49,30.5,0,0,0,19.61111111111111,,,,,,,,,,,
2013,15,HI,West Pacific,1408822,742,2585,666,1872,3171,12946,0.009189238,25178,25444,25449,76071,0.053996175528207256,89017,0.063185413,22.5,13,50,19,65,0,0,0,0,13,21.5,13.08333333,49.75,20,64.41666667,3.75,0,0,0,19.166666666666668,,,,,,,,,,,
2013,16,ID,West Pacific,1612053,731,967,448,2539,2164,12535,0.007775799,22349,22379,23685,68413,0.042438431,80948,0.05021423,21.5,11,48,22.5,76,0,0,0,0,11,21.25,11.16666667,47.25,22.08333333,68.83333333,25.58333333,0,0,0,21.796296295555557,,,,,,,,,,,
2013,17,IL,Central,12895778,22948,22033,17715,32195,48611,147405,0.011430485233229046,274042,280964,280963,835969,0.064825015,983374,0.0762555,20.5,7.5,49,21,56,41.5,0,0,0,20.5,19.75,7.416666667,48.75,20.91666667,54.5,42.66666667,0,0,0,21.55555555633333,,,,,,,,,,,
2013,18,IN,Central,6570575,25787,23324,24483,19338,42646,126755,0.019291310121260317,250815,250638,250176,751629,0.1143931847669344,878384,0.133684495,22.5,9,48.5,20.5,64,31,0,0,0,20.5,21.58333333,8.583333333,48.33333333,21.16666667,62.83333333,31.58333333,0,0,0,21.56481481366667,,,,,,,,,,,
2013,19,IA,Central,3093935,12052,21454,19005,10892,18637,106761,0.034506543,211118,205580,212202,628900,0.20326865302600086,735661,0.237775196,22.5,9.5,50.5,20,70,35.5,0,0,0,20,22.33333333,8.916666667,49.41666667,20.08333333,63.91666667,34.33333333,0,0,0,22.111111110777774,,,,,,,,,,,
2013,20,KS,Central,2894306,15305,15715,15806,17464,22006,86444,0.029866918010742472,165890,168019,168520,502429,0.17359221865276167,588873,0.203459137,22,9.5,49,22,60.5,36,0,0,0,22,22.25,9.833333333,49.25,22.16666667,58.75,34.58333333,0,0,0,21.870370370333333,,,,,,,,,,,
2013,21,KY,Central,4406906,32159,29667,24691,30837,47146,163226,0.037038684,316149,322882,322882,961913,0.21827399994463237,1125139,0.255312684,21.5,8,48,20,53,35.5,0,0,0,20,21.08333333,8.333333333,47.75,20.33333333,55.08333333,34.66666667,0,0,0,20.80555555477778,,,,,,,,,,,
2013,22,LA,South,4626040,4936,2590,4392,9640,15788,52471,0.011342531,100457,102306,102304,305067,0.065945604,357538,0.077288134,23.5,8,49,21,55,55,0,0,0,21,23.66666667,8.083333333,48.33333333,21.66666667,53.66666667,52.75,0,0,0,23.129629630333334,,,,,,,,,,,
2013,25,MA,Atlantic,6715158,2737,5457,1896,7722,5238,29810,0.004439211,56893,58019,58303,173215,0.025794628,203025,0.030233838,22,10,55,21,58,56,0,0,0,21,21.08333333,9.916666667,55.33333333,21,56.66666667,56.08333333,0,0,0,24.4537037,,,,,,,,,,,
2013,28,MS,South,2989839,6672,8180,13885,12336,23889,88496,0.029598918202618937,171774,174758,174677,521209,0.17432677813086256,609705,0.203925696,23.5,10,51.5,24.5,62,36.5,0,0,0,23.5,25.25,9.333333333,51.41666667,24,60.41666667,36.66666667,0,0,0,23.009259260333334,,,,,,,,,,,
2013,29,MO,Central,6042989,5276,7021,6335,19703,23142,76947,0.012733268255163133,149869,151377,151236,452482,0.074877184,529429,0.087610452,21.5,10,50,21,57.5,35.5,0,0,0,21,21.25,9.416666667,49.41666667,21.41666667,56.83333333,36.5,0,0,0,21.648148148555556,,,,,,,,,,,
2013,30,MT,West Pacific,1014158,7173,8213,4750,6960,12921,42400,0.041808081186560674,82777,79186,82988,244951,0.2415313984605949,287351,0.28333948,19,13,52,23,66,0,0,0,0,13,20.08333333,13.08333333,52.41666667,24.33333333,65.58333333,0,0,0,0,19.49999999888889,,,,,,,,,,,
2013,31,NE,Central,1865813,3336,4295,1298,6092,6998,23953,0.012837835,43646,41038,43969,128653,0.068952784,152606,0.081790619,23,10,51.5,22,66.5,0,0,0,0,10,23.41666667,9.416666667,52,22.83333333,64.41666667,17,0,0,0,21.009259259666667,,,,,,,,,,,
2013,32,NV,West Pacific,2776956,4645,3690,994,7753,8583,29641,0.010673918,55414,58392,58268,172074,0.061964972,201715,0.072638889,17.5,9.5,53.5,21,58.5,37,0,0,0,17.5,18.33333333,9.833333333,53,21.91666667,60.33333333,38.16666667,0,0,0,22.398148148111108,,,,,,,,,,,
2013,34,NJ,Atlantic,8857821,26597,45683,16992,29584,68550,340347,0.038423332,645399,635916,644088,1925403,0.21736756703482718,2265750,0.255790899,22,8,56,22,65.5,28.5,0,0,0,22,21.41666667,8.083333333,56.08333333,22.83333333,64.83333333,27.75,0,0,0,22.333333332555558,,,,,,,,,,,
2013,35,NM,West Pacific,2092833,12819,27102,9624,12095,21052,81442,0.038914715,160660,158807,160455,479922,0.22931691157392875,561364,0.268231627,23,16.5,54.5,24,71.5,0,0,0,0,16.5,22.5,17,54.58333333,23.25,71.58333333,7.333333333,0,0,0,21.80555555477778,,,,,,,,,,,
2013,36,NY,Atlantic,19626488,4779,7608,3273,10850,10235,59723,0.003042979,95825,106000,106000,307825,0.015684161119401494,367548,0.018727141,20,8,52.5,22,58.5,42.5,0,0,0,20,19.83333333,7.916666667,52.41666667,22.08333333,57.75,42.58333333,0,0,0.25,22.53703703633333,,,,,,,,,,,
2013,37,NC,South,9846717,36852,39812,31119,59410,80771,225197,0.022870262240704185,443588,446502,446844,1336934,0.1357745937046835,1562131,0.158644856,25.5,10.5,50.5,21.5,63.5,33,0,0,0,21.5,24,10.91666667,51,22,60.83333333,33,0,0,0,22.416666666666668,,,,,,,,,,,
2013,38,ND,Central,723149,4034,2200,1919,1982,4896,15012,0.020759207300293576,29545,26966,29952,86463,0.11956457106350143,101475,0.140323778,24.5,9.5,51.5,17,56.5,0,0,0,0,9.5,21,8.416666667,49.66666667,17,55.66666667,0,0,0,0,16.86111111188889,,,,,,,,,,,
2013,39,OH,Central,11579692,25814,52469,37462,47636,72777,325109,0.02807579,640774,647075,645348,1933197,0.16694718650547874,2258306,0.195022976,22.5,8,50,19,62,41,0,0,0,19,21.66666667,8.25,50.33333333,19.66666667,59.66666667,40,0,0,0,22.175925926666665,,,,,,,,,,,
2013,40,OK,South,3853891,12421,10766,3586,19024,28510,78626,0.020401718678603003,153148,150954,152902,457004,0.11858249234345238,535630,0.138984211,21,10,49,22,56.5,48,0,0,0,21,21.08333333,10.16666667,50.66666667,22.33333333,57.25,45.33333333,0,0,0,22.981481481111114,,,,,,,,,,,
2013,41,OR,West Pacific,3924110,15110,29898,10150,9400,21048,131585,0.033532444,257041,251822,255920,764783,0.19489336435522958,896368,0.228425809,15,9,35.5,18.5,42.5,36.5,0,0,0,15,16.08333333,9.166666667,35.91666667,18.75,44.75,33.66666667,0,0,0,17.59259259,,,,,,,,,,,
2013,42,PA,Atlantic,12779538,34431,51325,53710,50726,95520,646845,0.05061568,1292242,1293210,1293208,3878660,0.3035054944865769,4525505,0.354121174,20.5,9.5,52.5,20.5,56.5,37,0,0,0,20.5,20.66666667,9.166666667,52.83333333,20.75,57.25,36.75,0,0,0,21.935185185222224,,,,,,,,,,,
2013,44,RI,Atlantic,1055560,5102,5416,2750,5553,7716,32406,0.030700291788245102,63421,64294,64294,192009,0.18190249725264315,224415,0.212602789,21.5,12,56.5,19.5,62,19,0,0,0,19,22.33333333,11.41666667,56.66666667,19.66666667,61.66666667,26.83333333,0,0,0,22.064814815555554,,,,,,,,,,,
2013,45,SC,South,4766469,11780,12217,14723,14222,22706,80014,0.016786849972170174,156920,158602,158567,474089,0.099463355,554103,0.116250205,22,10,43.5,20,53,34,0,0,0,20,21.83333333,9.666666667,43.75,20,53.91666667,34.16666667,0,0,0,20.370370370777778,,,,,,,,,,,
2013,46,SD,Central,842751,1011,3354,1261,1805,3467,15700,0.018629464693604634,27413,28876,28876,85165,0.1010559465369961,100865,0.119685411,22,8,46,18,64,0,0,0,0,8,22.08333333,6.583333333,46.33333333,18.75,61.75,8.333333333,0,0,0,18.20370370288889,,,,,,,,,,,
2013,47,TN,South,6496943,21008,12335,9394,28525,35275,103361,0.015909174514844904,184422,189181,190850,564453,0.086879783,667814,0.102788958,19,8,43,20,52,38,0,0,0,19,18.83333333,8.666666667,42.58333333,19.91666667,50.33333333,38.91666667,0,0,0,19.91666666633333,,,,,,,,,,,
2013,48,TX,South,26479646,30953,24900,32889,78713,75727,313658,0.011845248988600527,606171,608360,622246,1836777,0.069365618,2150435,0.081210867,21.5,8,45.5,21.5,57,38,0,0,0,21.5,21.33333333,8.333333333,45.83333333,21.91666667,55,37.75,0,0,0,21.129629629222222,,,,,,,,,,,
